query	afdb	neighborhood_name	prediction	VFID	vf_category	VF_subcategory_high	gff	ANI_organism	genus	VF subcategory_low	pident	alntmscore	lddt	qcov
VFG048643(gb|WP_014907727)	AF-A0A1H0AKY7-F1-model_v4	WP_053256093.1!!!GCF_001269845.1_ASM126984v1!!!NZ_LHVP01000009.1!!!403339-432256	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_001269845.1	Pseudomonas fluorescens	Pseudomonas	 T6SS components	41.2	0.9224	0.9008	0.996
VFG048643(gb|WP_014907727)	AF-A0A1H0BUP2-F1-model_v4	WP_072425085.1!!!GCF_900103725.1_IMG-taxon_2600255389_annotated_assembly!!!NZ_FMXG01000001.1!!!187149-216497	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_900103725.1	Ectopseudomonas toyotomiensis	Ectopseudomonas	 T6SS components	41.8	0.9286	0.8809	0.996
VFG048643(gb|WP_014907727)	AF-A0A1H7NTI7-F1-model_v4	WP_003303357.1!!!GCF_043636045.1_ASM4363604v1!!!NZ_CP171478.1!!!4452564-4482060	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_043636045.1	Stutzerimonas frequens	Stutzerimonas	 T6SS components	42.2	0.9271	0.8842	0.996
VFG048643(gb|WP_014907727)	AF-A0A246FWU3-F1-model_v4	WP_014718217.1!!!GCF_011290325.1_ASM1129032v1!!!NZ_WOTI01000087.1!!!10908-29878	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_011290325.1	Pseudomonas paracarnis	Pseudomonas	 T6SS components	40.4	0.9209	0.8737	0.992
VFG048643(gb|WP_014907727)	AF-A0A077NW75-F1-model_v4	WP_036772377.1!!!GCF_963892655.1_ena-yuan-GCF_018448905.1!!!NZ_CAWQAO010000001.1!!!216966-245982	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_963892655.1	Photorhabdus heterorhabditis	Photorhabdus	 T6SS components	38.9	0.9285	0.8845	0.996
VFG048643(gb|WP_014907727)	AF-B1KGT6-F1-model_v4	WP_025889984.1!!!GCF_021440805.1_ASM2144080v1!!!NZ_JAKCOW010000028.1!!!212-15653	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_021440805.1	Shewanella algae	Shewanella	 T6SS components	39.4	0.927	0.8789	0.994
VFG048643(gb|WP_014907727)	AF-A0A5C2C3P6-F1-model_v4	WP_035735912.1!!!GCF_016603465.1_ASM1660346v1!!!NZ_JACTSK010000018.1!!!2252-26763	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_016603465.1	Francisella philomiragia	Francisella	 T6SS components	40.5	0.9417	0.8777	0.957
VFG048643(gb|WP_014907727)	AF-A0A0W0M0V6-F1-model_v4	WP_406998217.1!!!GCF_045447305.1_ASM4544730v1!!!NZ_JBJGXU010000030.1!!!40614-70969	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_045447305.1	Pseudomonas gelidaquae	Pseudomonas	 T6SS components	40.5	0.9213	0.8712	0.996
VFG048643(gb|WP_014907727)	AF-A0A7L9RC60-F1-model_v4	WP_015841409.1!!!GCF_000023605.1_ASM2360v1!!!NC_012917.1!!!3657037-3685908	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000023605.1	Pectobacterium aroidearum	Pectobacterium	 T6SS components	38.6	0.9267	0.8746	0.996
VFG048643(gb|WP_014907727)	AF-A0A1V0B657-F1-model_v4	WP_003303357.1!!!GCF_032770195.1_ASM3277019v1!!!NZ_CP136501.1!!!899503-930719	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_032770195.1	Stutzerimonas frequens	Stutzerimonas	 T6SS components	41.4	0.9272	0.8779	0.992
VFG048643(gb|WP_014907727)	AF-A0A1M7JDL4-F1-model_v4	WP_024695174.1!!!GCF_000452825.2_CC1417_3.0!!!NZ_CP159362.1!!!4696215-4723382	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000452825.2	Pseudomonas asturiensis	Pseudomonas	 T6SS components	41.4	0.929	0.8821	0.986
VFG048643(gb|WP_014907727)	AF-A0A823B2B7-F1-model_v4	WP_000056978.1!!!GCF_000457165.1_Esch_coli_HVH_82_4-2209276_V1!!!NZ_KE699573.1!!!321099-348919	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000457165.1	Escherichia coli	Escherichia	 T6SS components	40.4	0.9238	0.8746	0.996
VFG048643(gb|WP_014907727)	AF-A0A2V4IE71-F1-model_v4	WP_217838810.1!!!GCF_019139895.1_ASM1913989v1!!!NZ_CP077076.1!!!3291756-3322439	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_019139895.1	Pseudomonas xanthosomatis	Pseudomonas	 T6SS components	40.9	0.923	0.8716	0.949
VFG048643(gb|WP_014907727)	AF-A0A3M3GXB4-F1-model_v4	WP_024671205.1!!!GCF_003416445.1_ASM341644v1!!!NZ_QPDB01000018.1!!!90921-121374	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_003416445.1	Pseudomonas coronafaciens	Pseudomonas	 T6SS components	39.1	0.9092	0.8817	0.996
VFG048643(gb|WP_014907727)	AF-A0A7L7ILL3-F1-model_v4	WP_142467319.1!!!GCF_902158565.1_SB6419!!!NZ_CABGGU010000138.1!!!511-14440	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_902158565.1	Klebsiella spallanzanii	Klebsiella	 T6SS components	40.6	0.9252	0.8725	0.996
VFG048643(gb|WP_014907727)	AF-A0A7T9PRI7-F1-model_v4	WP_004247652.1!!!GCF_030335765.1_ASM3033576v1!!!NZ_JAPZXM010000006.1!!!157538-186647	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_030335765.1	Proteus mirabilis	Proteus	 T6SS components	39.4	0.9266	0.8763	0.996
VFG048643(gb|WP_014907727)	AF-A0A7T8QA09-F1-model_v4	WP_065093451.1!!!GCF_003412785.1_ASM341278v1!!!NZ_QPBR01000006.1!!!245146-267545	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_003412785.1	Pseudomonas syringae	Pseudomonas	 T6SS components	41.0	0.9249	0.8694	0.992
VFG048643(gb|WP_014907727)	AF-A0A7T4NCN6-F1-model_v4	WP_046077365.1!!!GCF_014106295.1_ASM1410629v1!!!NZ_JABXVT010000002.1!!!191264-219624	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_014106295.1	Escherichia fergusonii	Escherichia	 T6SS components	38.8	0.9209	0.878	0.996
VFG048643(gb|WP_014907727)	AF-A0A6M8N653-F1-model_v4	WP_263669217.1!!!GCF_043353315.1_ASM4335331v1!!!NZ_JAPZJR010000004.1!!!74169-98480	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_043353315.1	Campylobacter lari	Campylobacter	 T6SS components	36.6	0.9375	0.8716	0.965
VFG048643(gb|WP_014907727)	AF-A0A430X033-F1-model_v4	WP_002869989.1!!!GCF_002806115.1_CFSAN065332!!!NZ_PIAB01000006.1!!!154-19533	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_002806115.1	Campylobacter jejuni	Campylobacter	 T6SS components	37.9	0.9355	0.8685	0.928
VFG048643(gb|WP_014907727)	AF-A0A7U3PWE5-F1-model_v4	WP_000108140.1!!!GCF_000279955.1_ASM27995v1!!!NZ_JH724954.1!!!82046-112133	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000279955.1	Vibrio cholerae	Vibrio	 T6SS components	40.1	0.9265	0.8759	0.99
VFG048643(gb|WP_014907727)	AF-A0A2I8TGS2-F1-model_v4	WP_286601321.1!!!GCF_030332325.1_ASM3033232v1!!!NZ_JAOWIB010000106.1!!!167445-195587	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_030332325.1	Citrobacter sedlakii	Citrobacter	 T6SS components	38.8	0.9252	0.875	0.996
VFG048643(gb|WP_014907727)	AF-A0A837UM23-F1-model_v4	WP_060084967.1!!!GCF_003858195.1_ASM385819v1!!!NZ_QTRF01000032.1!!!1-27775	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_003858195.1	Burkholderia cepacia	Burkholderia	 T6SS components	38.2	0.9226	0.8686	0.99
VFG048643(gb|WP_014907727)	AF-Q7VJJ6-F1-model_v4	WP_295701906.1!!!GCF_948695835.1_MGBC118927!!!NZ_CAPRVH010000037.1!!!590-16758	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_948695835.1	Helicobacter japonicus	Helicobacter	 T6SS components	35.5	0.9216	0.8728	0.988
VFG048643(gb|WP_014907727)	AF-A0A3T3IDU7-F1-model_v4	WP_000058004.1!!!GCF_000483815.1_ASM48381v1!!!NZ_AYDW01000006.1!!!11813-39157	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000483815.1	Salmonella enterica	Salmonella	 T6SS components	41.4	0.9256	0.8761	0.994
VFG048643(gb|WP_014907727)	AF-A0A6I1WB69-F1-model_v4	WP_167417226.1!!!GCF_011800525.1_ASM1180052v1!!!NZ_JAALFY010000006.1!!!266285-294072	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_011800525.1	Pseudomonas rhodesiae	Pseudomonas	 T6SS components	38.2	0.9133	0.8602	0.965
VFG048643(gb|WP_014907727)	AF-A0A5C1DDP7-F1-model_v4	WP_114061602.1!!!GCF_003325475.1_ASM332547v1!!!NZ_CP029495.1!!!2438484-2467381	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_003325475.1	Chromobacterium vaccinii	Chromobacterium	 T6SS components	38.3	0.9143	0.8667	0.971
VFG048643(gb|WP_014907727)	AF-A0A7X2F903-F1-model_v4	WP_016155550.1!!!GCF_005280915.1_ASM528091v1!!!NZ_SZWT01000041.1!!!7562-38560	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_005280915.1	Citrobacter braakii	Citrobacter	 T6SS components	37.3	0.9094	0.877	0.992
VFG048643(gb|WP_014907727)	AF-A0A1I0UFH7-F1-model_v4	WP_031653208.1!!!GCF_000629445.1_Pseu_aeru_BWH057_V1!!!NZ_KK213195.1!!!152837-181113	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000629445.1	Pseudomonas aeruginosa	Pseudomonas	 T6SS components	36.9	0.9129	0.8816	0.996
VFG048643(gb|WP_014907727)	AF-C1DM91-F1-model_v4	WP_007958864.1!!!GCF_002112305.1_ASM211230v1!!!NZ_NEHH01000003.1!!!369700-400723	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_002112305.1	Pseudomonas paraglycinae	Pseudomonas	 T6SS components	38.0	0.9123	0.8709	0.971
VFG048643(gb|WP_014907727)	AF-A0A5E6QR54-F1-model_v4	WP_215520587.1!!!GCF_018729535.1_ASM1872953v1!!!NZ_JAHHZI010000003.1!!!74650-103329	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_018729535.1	Pseudomonas inefficax	Pseudomonas	 T6SS components	36.9	0.9146	0.8643	0.99
VFG048643(gb|WP_014907727)	AF-J5CPC2-F1-model_v4	WP_006484397.1!!!GCF_025996215.1_ASM2599621v1!!!NZ_JAIMHR010000036.1!!!61207-83293	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_025996215.1	Burkholderia cenocepacia	Burkholderia	 T6SS components	38.3	0.9129	0.8681	0.994
VFG048643(gb|WP_014907727)	AF-A0A246NE90-F1-model_v4	WP_075337967.1!!!GCF_019739665.1_ASM1973966v1!!!NZ_JAGKRW010000039.1!!!77745-103943	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_019739665.1	Yersinia enterocolitica	Yersinia	 T6SS components	40.0	0.941	0.8728	0.946
VFG048643(gb|WP_014907727)	AF-A0A546XT75-F1-model_v4	WP_059761077.1!!!GCF_013319085.1_ASM1331908v1!!!NZ_JAAMBB010000040.1!!!1-23083	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_013319085.1	Agrobacterium leguminum	Agrobacterium	 T6SS components	37.0	0.9094	0.8601	0.977
VFG048643(gb|WP_014907727)	AF-A0A7Z0ZVT5-F1-model_v4	WP_183926629.1!!!GCF_014197875.1_ASM1419787v1!!!NZ_JACIGM010000006.1!!!336284-365513	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_014197875.1	Rhizobium mongolense	Rhizobium	 T6SS components	36.5	0.9044	0.8543	0.988
VFG048643(gb|WP_014907727)	AF-A0A1S2DX96-F1-model_v4	WP_064253061.1!!!GCF_001889105.1_ASM188910v1!!!NZ_CP013110.1!!!2020581-2051096	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_001889105.1	Sinorhizobium americanum	Sinorhizobium	 T6SS components	35.4	0.909	0.8658	0.998
VFG048643(gb|WP_014907727)	AF-A0A106SB03-F1-model_v4	WP_010112389.1!!!GCF_030482685.1_ASM3048268v1!!!NZ_JAUJRD010000006.1!!!76189-104447	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_030482685.1	Burkholderia oklahomensis	Burkholderia	 T6SS components	37.7	0.9087	0.8649	0.961
VFG048643(gb|WP_014907727)	AF-A0A1C0U9N6-F1-model_v4	WP_015835872.1!!!GCF_963861675.1_ena-yuan-GCF_000196475.1!!!NZ_CAWLKN010000001.1!!!4387661-4414674	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_963861675.1	Photorhabdus asymbiotica	Photorhabdus	 T6SS components	38.3	0.9121	0.855	0.946
VFG048643(gb|WP_014907727)	AF-A0A6P2LE73-F1-model_v4	WP_004523699.1!!!GCF_000773275.1_BFK!!!NZ_JQDP01000092.1!!!1-25163	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000773275.1	Burkholderia pseudomallei	Burkholderia	 T6SS components	39.1	0.9221	0.864	0.946
VFG048643(gb|WP_014907727)	AF-A0A3S4EYW4-F1-model_v4	WP_004159902.1!!!GCF_002732405.1_ASM273240v1!!!NZ_NQJS01000058.1!!!153722-184392	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_002732405.1	Erwinia amylovora	Erwinia	 T6SS components	38.0	0.9112	0.8598	0.984
VFG048643(gb|WP_014907727)	AF-A0A5C7D5B7-F1-model_v4	WP_004935371.1!!!GCF_000342205.1_SerMar_1.0!!!NZ_AORJ01000058.1!!!236164-260692	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000342205.1	Serratia marcescens	Serratia	 T6SS components	36.5	0.9181	0.8574	0.946
VFG048643(gb|WP_014907727)	AF-A0A2H5DVH5-F1-model_v4	WP_004190846.1!!!GCF_000454625.1_Final_Assembly!!!NZ_AUVJ01000237.1!!!14014-38748	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000454625.1	Burkholderia pseudomallei	Burkholderia	 T6SS components	34.8	0.9146	0.8566	0.986
VFG048643(gb|WP_014907727)	AF-A0Q3Y9-F1-model_v4	WP_003040847.1!!!GCF_016603775.1_ASM1660377v1!!!NZ_JACTTB010000003.1!!!165970-189747	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_016603775.1	Francisella tularensis	Francisella	 T6SS components	32.2	0.9006	0.8513	0.977
VFG048643(gb|WP_014907727)	AF-A0A0E1W8X0-F1-model_v4	WP_004190846.1!!!GCF_000454625.1_Final_Assembly!!!NZ_AUVJ01000237.1!!!14014-38748	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000454625.1	Burkholderia pseudomallei	Burkholderia	 T6SS components	35.5	0.9086	0.8548	0.992
VFG041253(gb|WP_010946231)	AF-A0A378KXR9-F1-model_v4	WP_203109205.1!!!GCF_016792125.1_ASM1679212v1!!!NZ_JADWVM010000009.1!!!37707-68803	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_016792125.1	Legionella bononiensis	Legionella	 T4SS effectors	59.0	0.9419	0.902	0.996
VFG041253(gb|WP_010946231)	AF-A0A378JST2-F1-model_v4	WP_028383685.1!!!GCF_000423305.1_ASM42330v1!!!NZ_AUHS01000019.1!!!69894-100784	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_000423305.1	Legionella moravica	Legionella	 T4SS effectors	57.9	0.9297	0.9049	1.0
VFG041253(gb|WP_010946231)	AF-A0A0W0RV09-F1-model_v4	WP_058517280.1!!!GCF_900461585.1_51485_C01!!!NZ_UGOH01000001.1!!!3172323-3188149	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900461585.1	Legionella parisiensis	Legionella	 T4SS effectors	47.1	0.9063	0.8418	0.996
VFG041253(gb|WP_010946231)	AF-A0A447T1R3-F1-model_v4	WP_058515605.1!!!GCF_001468135.1_ASM146813v1!!!NZ_LNYU01000091.1!!!203650-219059	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_001468135.1	Legionella santicrucis	Legionella	 T4SS effectors	48.6	0.9026	0.8382	1.0
VFG041333(gb|WP_010948115)	AF-D3HJN5-F1-model_v4	WP_101900989.1!!!GCF_900635835.1_34410_B02!!!NZ_LR134178.1!!!2569717-2599781	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900635835.1	Legionella sainthelensi	Legionella	 T4SS effectors	56.4	0.9593	0.8953	0.982
VFG041333(gb|WP_010948115)	AF-A0A0W0RZK4-F1-model_v4	WP_412756629.1!!!GCF_964277535.1_Lbozemanii_LeCo_16!!!NZ_CAXYJB010000004.1!!!145331-174478	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_964277535.1	Legionella bozemanae	Legionella	 T4SS effectors	56.9	0.9592	0.8841	0.985
VFG041333(gb|WP_010948115)	AF-A0A0W0YGE7-F1-model_v4	WP_101900989.1!!!GCF_900635835.1_34410_B02!!!NZ_LR134178.1!!!2569717-2599781	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900635835.1	Legionella sainthelensi	Legionella	 T4SS effectors	56.8	0.9544	0.8824	1.0
VFG041333(gb|WP_010948115)	AF-A0A378L4E7-F1-model_v4	WP_058478216.1!!!GCF_965135705.1_CIP103851T!!!NZ_CBCRVJ010000011.1!!!57699-86335	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_965135705.1	Legionella steigerwaltii	Legionella	 T4SS effectors	52.3	0.9438	0.8386	0.993
VFG041333(gb|WP_010948115)	AF-A0A0W0SCA7-F1-model_v4	WP_265701940.1!!!GCF_026191355.1_ASM2619135v1!!!NZ_JAPHOQ010000001.1!!!96204-124420	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_026191355.1	Legionella cherrii	Legionella	 T4SS effectors	54.8	0.9012	0.8477	1.0
VFG041333(gb|WP_010948115)	AF-A0A0W0ZIV9-F1-model_v4	WP_058511166.1!!!GCF_001897665.1_ASM189766v1!!!NZ_MKTO01000001.1!!!129-23301	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_001897665.1	Legionella steelei	Legionella	 T4SS effectors	52.0	0.9121	0.8649	0.982
VFG041333(gb|WP_010948115)	AF-A0A378LUT1-F1-model_v4	WP_031564023.1!!!GCF_900640045.1_Leg_wadsworthii_81-716.v1!!!NZ_CAAAIS010000009.1!!!38895-66820	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900640045.1	Legionella wadsworthii	Legionella	 T4SS effectors	48.1	0.9363	0.8259	1.0
VFG043363(gb|WP_016357050)	AF-A0A6S5WWW6-F1-model_v4	WP_005337611.1!!!GCF_007654995.1_ASM765499v1!!!NZ_SZVM01000001.1!!!358093-388102	Type III secretion system (T3SS)	VF0157	Motility	Flagella-mediated motility	GCF_007654995.1	Aeromonas veronii	Aeromonas	 Flagella assembly	26.8	0.9074	0.8473	0.957
VFG050298(gb|NP_250643)	AF-A0A5E7TKH3-F1-model_v4	WP_285410513.1!!!GCF_030209115.1_ASM3020911v1!!!NZ_JARVSP010000032.1!!!80574-109814	Adherence	VF1191	Adherence	Fimbrial adhesin	GCF_030209115.1	Pseudomonas moraviensis	Pseudomonas	 Fap fiber	66.3	0.905	0.9538	1.0
VFG050298(gb|NP_250643)	AF-A0A5E7C694-F1-model_v4	WP_071490642.1!!!GCF_017351245.1_ASM1735124v1!!!NZ_JACNCW010000041.1!!!25788-43353	Adherence	VF1191	Adherence	Fimbrial adhesin	GCF_017351245.1	Pseudomonas extremorientalis	Pseudomonas	 Fap fiber	65.9	0.911	0.9571	1.0
VFG000394(gb|WP_002212947)	AF-A0A329VLC4-F1-model_v4	WP_133815311.1!!!GCF_011189505.1_ASM1118950v1!!!NZ_PUJU01000007.1!!!66778-56116	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_011189505.1	Photorhabdus thracensis	Photorhabdus	 T3SS components	82.4	0.9796	0.9756	1.0
VFG000394(gb|WP_002212947)	AF-S2K126-F1-model_v4	WP_016394489.1!!!GCF_000688275.1_ASM68827v1!!!NZ_JHYX01000011.1!!!127936-142384	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_000688275.1	Pseudomonas plecoglossicida	Pseudomonas	 T3SS components	73.7	0.9695	0.9615	1.0
VFG000394(gb|WP_002212947)	AF-A0A1H9KW58-F1-model_v4	WP_023629664.1!!!GCF_040750415.1_ASM4075041v1!!!NZ_JBFLVE010000008.1!!!382884-401457	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_040750415.1	Pseudomonas soli	Pseudomonas	 T3SS components	72.3	0.9863	0.9712	1.0
VFG000394(gb|WP_002212947)	AF-A0A1Q8EMN5-F1-model_v4	WP_053280203.1!!!GCF_017351415.1_ASM1735141v1!!!NZ_JACNDE010000018.1!!!85829-113754	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_017351415.1	Pseudomonas chlororaphis	Pseudomonas	 T3SS components	53.0	0.9457	0.8985	0.991
VFG000394(gb|WP_002212947)	AF-A0A4Q2A8Z8-F1-model_v4	WP_006026788.1!!!GCF_001546925.1_ASM154692v1!!!NZ_LNJS01000001.1!!!1797030-1827077	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_001546925.1	Burkholderia humptydooensis	Burkholderia	 T3SS components	52.3	0.9512	0.9065	0.986
VFG000394(gb|WP_002212947)	AF-E3BNN6-F1-model_v4	WP_409457851.1!!!GCF_046269195.1_ASM4626919v1!!!NZ_JBJZOQ010000002.1!!!72311-101225	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_046269195.1	Vibrio coralliilyticus	Vibrio	 T3SS components	53.0	0.9461	0.8959	0.991
VFG000394(gb|WP_002212947)	AF-A0A1S1WX03-F1-model_v4	WP_201900122.1!!!GCF_046640265.1_ASM4664026v1!!!NZ_JBKATS010000015.1!!!99059-113517	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_046640265.1	Aeromonas dhakensis	Aeromonas	 T3SS components	56.0	0.9592	0.8999	0.982
VFG000394(gb|WP_002212947)	AF-A0A5U3F2M8-F1-model_v4	WP_063390175.1!!!GCF_002055995.1_ASM205599v1!!!NZ_MYQL01000001.1!!!99775-112784	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002055995.1	Salmonella enterica	Salmonella	 T3SS components	52.1	0.9472	0.8863	0.982
VFG000394(gb|WP_002212947)	AF-A0A5F2HZQ3-F1-model_v4	WP_065006906.1!!!GCF_900149755.1_BQ8482_STM4623!!!NZ_FUIG01000028.1!!!14986-38250	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_900149755.1	Mesorhizobium temperatum	Mesorhizobium	 T3SS components	46.5	0.9455	0.8928	0.991
VFG000394(gb|WP_002212947)	AF-A0A3R8V327-F1-model_v4	WP_003377067.1!!!GCF_000145865.1_ASM14586v1!!!NZ_GL385076.1!!!96457-120466	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_000145865.1	Pseudomonas syringae	Pseudomonas	 T3SS components	48.3	0.9666	0.8963	0.982
VFG000394(gb|WP_002212947)	AF-A0A104K6W6-F1-model_v4	WP_047902787.1!!!GCF_037055255.1_ASM3705525v1!!!NZ_CP146377.1!!!3033744-3063594	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_037055255.1	Burkholderia pyrrocinia	Burkholderia	 T3SS components	48.6	0.9145	0.888	0.991
VFG000394(gb|WP_002212947)	AF-A0A1D3K047-F1-model_v4	WP_016969170.1!!!GCF_002022275.1_ASM202227v1!!!NZ_MSDF01000061.1!!!60-18682	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002022275.1	Pseudomonas tolaasii	Pseudomonas	 T3SS components	48.3	0.9594	0.8919	0.982
VFG000394(gb|WP_002212947)	AF-A0A481QL13-F1-model_v4	WP_032903070.1!!!GCF_001182965.1_8016_2_76!!!NZ_CWIY01000019.1!!!17702-3891	Type III secretion system (T3SS)	VF0140	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_001182965.1	Yersinia enterocolitica	Yersinia	 T3SS components	44.0	0.9246	0.8961	0.991
